type,src,dst,status
content-skip,/Volumes/LaCie/Projects/elgan_dti/data/site-310/.heudiconv/E3100331F/ses-03/info/heuristic.py,,no-change
content-skip,/Volumes/LaCie/Projects/elgan_dti/data/site-310/.heudiconv/E3100331F/ses-03/info/dicominfo_ses-03.tsv,,no-change
content-skip,/Volumes/LaCie/Projects/elgan_dti/data/site-310/.heudiconv/E3100331F/ses-03/info/E3100331F_ses-03.auto.txt,,no-change
content-skip,/Volumes/LaCie/Projects/elgan_dti/data/site-310/.heudiconv/E3100331F/ses-03/info/E3100331F_ses-03.edit.txt,,no-change
content-skip,/Volumes/LaCie/Projects/elgan_dti/data/site-310/.heudiconv/E3100331F/ses-03/info/filegroup_ses-03.json,,no-change
content-skip,/Volumes/LaCie/Projects/elgan_dti/data/site-310/.heudiconv/E3100521c/ses-03/info/heuristic.py,,no-change
content-skip,/Volumes/LaCie/Projects/elgan_dti/data/site-310/.heudiconv/E3100521c/ses-03/info/dicominfo_ses-03.tsv,,no-change
content-skip,/Volumes/LaCie/Projects/elgan_dti/data/site-310/.heudiconv/E3100521c/ses-03/info/E3100521c_ses-03.auto.txt,,no-change
content-skip,/Volumes/LaCie/Projects/elgan_dti/data/site-310/.heudiconv/E3100521c/ses-03/info/E3100521c_ses-03.edit.txt,,no-change
content-skip,/Volumes/LaCie/Projects/elgan_dti/data/site-310/.heudiconv/E3100521c/ses-03/info/filegroup_ses-03.json,,no-change
content-skip,/Volumes/LaCie/Projects/elgan_dti/data/site-310/.heudiconv/E3100501E/ses-03/info/heuristic.py,,no-change
content-skip,/Volumes/LaCie/Projects/elgan_dti/data/site-310/.heudiconv/E3100501E/ses-03/info/dicominfo_ses-03.tsv,,no-change
content-skip,/Volumes/LaCie/Projects/elgan_dti/data/site-310/.heudiconv/E3100501E/ses-03/info/E3100501E_ses-03.auto.txt,,no-change
content-skip,/Volumes/LaCie/Projects/elgan_dti/data/site-310/.heudiconv/E3100501E/ses-03/info/E3100501E_ses-03.edit.txt,,no-change
content-skip,/Volumes/LaCie/Projects/elgan_dti/data/site-310/.heudiconv/E3100501E/ses-03/info/filegroup_ses-03.json,,no-change
content-skip,/Volumes/LaCie/Projects/elgan_dti/data/site-310/.heudiconv/E3100311H/ses-03/info/heuristic.py,,no-change
content-skip,/Volumes/LaCie/Projects/elgan_dti/data/site-310/.heudiconv/E3100311H/ses-03/info/dicominfo_ses-03.tsv,,no-change
content-skip,/Volumes/LaCie/Projects/elgan_dti/data/site-310/.heudiconv/E3100311H/ses-03/info/E3100311H_ses-03.auto.txt,,no-change
content-skip,/Volumes/LaCie/Projects/elgan_dti/data/site-310/.heudiconv/E3100311H/ses-03/info/E3100311H_ses-03.edit.txt,,no-change
content-skip,/Volumes/LaCie/Projects/elgan_dti/data/site-310/.heudiconv/E3100311H/ses-03/info/filegroup_ses-03.json,,no-change
content-skip,/Volumes/LaCie/Projects/elgan_dti/data/site-310/.heudiconv/E3100231H/ses-03/info/heuristic.py,,no-change
content-skip,/Volumes/LaCie/Projects/elgan_dti/data/site-310/.heudiconv/E3100231H/ses-03/info/dicominfo_ses-03.tsv,,no-change
content-skip,/Volumes/LaCie/Projects/elgan_dti/data/site-310/.heudiconv/E3100231H/ses-03/info/E3100231H_ses-03.auto.txt,,no-change
content-skip,/Volumes/LaCie/Projects/elgan_dti/data/site-310/.heudiconv/E3100231H/ses-03/info/E3100231H_ses-03.edit.txt,,no-change
content-skip,/Volumes/LaCie/Projects/elgan_dti/data/site-310/.heudiconv/E3100231H/ses-03/info/filegroup_ses-03.json,,no-change
content-skip,/Volumes/LaCie/Projects/elgan_dti/data/site-310/.heudiconv/E3100291B/ses-03/info/heuristic.py,,no-change
content-skip,/Volumes/LaCie/Projects/elgan_dti/data/site-310/.heudiconv/E3100291B/ses-03/info/dicominfo_ses-03.tsv,,no-change
content-skip,/Volumes/LaCie/Projects/elgan_dti/data/site-310/.heudiconv/E3100291B/ses-03/info/E3100291B_ses-03.auto.txt,,no-change
content-skip,/Volumes/LaCie/Projects/elgan_dti/data/site-310/.heudiconv/E3100291B/ses-03/info/E3100291B_ses-03.edit.txt,,no-change
content-skip,/Volumes/LaCie/Projects/elgan_dti/data/site-310/.heudiconv/E3100291B/ses-03/info/filegroup_ses-03.json,,no-change
content-skip,/Volumes/LaCie/Projects/elgan_dti/data/site-310/.heudiconv/E3100301I/ses-03/info/heuristic.py,,no-change
content-skip,/Volumes/LaCie/Projects/elgan_dti/data/site-310/.heudiconv/E3100301I/ses-03/info/dicominfo_ses-03.tsv,,no-change
content-skip,/Volumes/LaCie/Projects/elgan_dti/data/site-310/.heudiconv/E3100301I/ses-03/info/E3100301I_ses-03.auto.txt,,no-change
content-skip,/Volumes/LaCie/Projects/elgan_dti/data/site-310/.heudiconv/E3100301I/ses-03/info/E3100301I_ses-03.edit.txt,,no-change
content-skip,/Volumes/LaCie/Projects/elgan_dti/data/site-310/.heudiconv/E3100301I/ses-03/info/filegroup_ses-03.json,,no-change
content-skip,/Volumes/LaCie/Projects/elgan_dti/data/site-310/.heudiconv/E3100481K/ses-03/info/heuristic.py,,no-change
content-skip,/Volumes/LaCie/Projects/elgan_dti/data/site-310/.heudiconv/E3100481K/ses-03/info/dicominfo_ses-03.tsv,,no-change
content-skip,/Volumes/LaCie/Projects/elgan_dti/data/site-310/.heudiconv/E3100481K/ses-03/info/E3100481K_ses-03.auto.txt,,no-change
content-skip,/Volumes/LaCie/Projects/elgan_dti/data/site-310/.heudiconv/E3100481K/ses-03/info/E3100481K_ses-03.edit.txt,,no-change
content-skip,/Volumes/LaCie/Projects/elgan_dti/data/site-310/.heudiconv/E3100481K/ses-03/info/filegroup_ses-03.json,,no-change
content-skip,/Volumes/LaCie/Projects/elgan_dti/data/site-310/.heudiconv/E3100341E/ses-03/info/heuristic.py,,no-change
content-skip,/Volumes/LaCie/Projects/elgan_dti/data/site-310/.heudiconv/E3100341E/ses-03/info/dicominfo_ses-03.tsv,,no-change
content-skip,/Volumes/LaCie/Projects/elgan_dti/data/site-310/.heudiconv/E3100341E/ses-03/info/E3100341E_ses-03.auto.txt,,no-change
content-skip,/Volumes/LaCie/Projects/elgan_dti/data/site-310/.heudiconv/E3100341E/ses-03/info/E3100341E_ses-03.edit.txt,,no-change
content-skip,/Volumes/LaCie/Projects/elgan_dti/data/site-310/.heudiconv/E3100341E/ses-03/info/filegroup_ses-03.json,,no-change
content-skip,/Volumes/LaCie/Projects/elgan_dti/data/site-310/.heudiconv/E3100782B/ses-03/info/heuristic.py,,no-change
content-skip,/Volumes/LaCie/Projects/elgan_dti/data/site-310/.heudiconv/E3100782B/ses-03/info/dicominfo_ses-03.tsv,,no-change
content-skip,/Volumes/LaCie/Projects/elgan_dti/data/site-310/.heudiconv/E3100782B/ses-03/info/E3100782B_ses-03.auto.txt,,no-change
content-skip,/Volumes/LaCie/Projects/elgan_dti/data/site-310/.heudiconv/E3100782B/ses-03/info/E3100782B_ses-03.edit.txt,,no-change
content-skip,/Volumes/LaCie/Projects/elgan_dti/data/site-310/.heudiconv/E3100782B/ses-03/info/filegroup_ses-03.json,,no-change
content-skip,/Volumes/LaCie/Projects/elgan_dti/data/site-310/.heudiconv/E3100351D/ses-03/info/heuristic.py,,no-change
content-skip,/Volumes/LaCie/Projects/elgan_dti/data/site-310/.heudiconv/E3100351D/ses-03/info/dicominfo_ses-03.tsv,,no-change
content-skip,/Volumes/LaCie/Projects/elgan_dti/data/site-310/.heudiconv/E3100351D/ses-03/info/E3100351D_ses-03.auto.txt,,no-change
content-skip,/Volumes/LaCie/Projects/elgan_dti/data/site-310/.heudiconv/E3100351D/ses-03/info/E3100351D_ses-03.edit.txt,,no-change
content-skip,/Volumes/LaCie/Projects/elgan_dti/data/site-310/.heudiconv/E3100351D/ses-03/info/filegroup_ses-03.json,,no-change
content-skip,/Volumes/LaCie/Projects/elgan_dti/data/site-310/.heudiconv/E3100261E/ses-03/info/heuristic.py,,no-change
content-skip,/Volumes/LaCie/Projects/elgan_dti/data/site-310/.heudiconv/E3100261E/ses-03/info/dicominfo_ses-03.tsv,,no-change
content-skip,/Volumes/LaCie/Projects/elgan_dti/data/site-310/.heudiconv/E3100261E/ses-03/info/E3100261E_ses-03.auto.txt,,no-change
content-skip,/Volumes/LaCie/Projects/elgan_dti/data/site-310/.heudiconv/E3100261E/ses-03/info/E3100261E_ses-03.edit.txt,,no-change
content-skip,/Volumes/LaCie/Projects/elgan_dti/data/site-310/.heudiconv/E3100261E/ses-03/info/filegroup_ses-03.json,,no-change
content-skip,/Volumes/LaCie/Projects/elgan_dti/data/site-310/.heudiconv/E3100781D/ses-03/info/heuristic.py,,no-change
content-skip,/Volumes/LaCie/Projects/elgan_dti/data/site-310/.heudiconv/E3100781D/ses-03/info/dicominfo_ses-03.tsv,,no-change
content-skip,/Volumes/LaCie/Projects/elgan_dti/data/site-310/.heudiconv/E3100781D/ses-03/info/E3100781D_ses-03.auto.txt,,no-change
content-skip,/Volumes/LaCie/Projects/elgan_dti/data/site-310/.heudiconv/E3100781D/ses-03/info/E3100781D_ses-03.edit.txt,,no-change
content-skip,/Volumes/LaCie/Projects/elgan_dti/data/site-310/.heudiconv/E3100781D/ses-03/info/filegroup_ses-03.json,,no-change
content-skip,/Volumes/LaCie/Projects/elgan_dti/data/site-310/.heudiconv/E3100271D/ses-03/info/heuristic.py,,no-change
content-skip,/Volumes/LaCie/Projects/elgan_dti/data/site-310/.heudiconv/E3100271D/ses-03/info/dicominfo_ses-03.tsv,,no-change
content-skip,/Volumes/LaCie/Projects/elgan_dti/data/site-310/.heudiconv/E3100271D/ses-03/info/E3100271D_ses-03.auto.txt,,no-change
content-skip,/Volumes/LaCie/Projects/elgan_dti/data/site-310/.heudiconv/E3100271D/ses-03/info/E3100271D_ses-03.edit.txt,,no-change
content-skip,/Volumes/LaCie/Projects/elgan_dti/data/site-310/.heudiconv/E3100271D/ses-03/info/filegroup_ses-03.json,,no-change
content-skip,/Volumes/LaCie/Projects/elgan_dti/data/site-310/.heudiconv/E3100041K/ses-03/info/heuristic.py,,no-change
content-skip,/Volumes/LaCie/Projects/elgan_dti/data/site-310/.heudiconv/E3100041K/ses-03/info/dicominfo_ses-03.tsv,,no-change
content-skip,/Volumes/LaCie/Projects/elgan_dti/data/site-310/.heudiconv/E3100041K/ses-03/info/E3100041K_ses-03.auto.txt,,no-change
content-skip,/Volumes/LaCie/Projects/elgan_dti/data/site-310/.heudiconv/E3100041K/ses-03/info/E3100041K_ses-03.edit.txt,,no-change
content-skip,/Volumes/LaCie/Projects/elgan_dti/data/site-310/.heudiconv/E3100041K/ses-03/info/filegroup_ses-03.json,,no-change
content-skip,/Volumes/LaCie/Projects/elgan_dti/data/site-310/.heudiconv/E3100961B/ses-03/info/heuristic.py,,no-change
