type,src,dst,status
content-skip,/Volumes/LaCie/Projects/elgan_dti/data/Site-160_ELGAN/derivatives/afq/sub-E1600071G/ses-03/dwi/ROIs/sub-E1600071G_ses-03_space-ACPC_desc-CallosumAnteriorFrontalInclude0_mask.json,,no-change
content-skip,/Volumes/LaCie/Projects/elgan_dti/data/Site-160_ELGAN/derivatives/afq/sub-E1600071G/ses-03/dwi/ROIs/sub-E1600071G_ses-03_space-ACPC_desc-CallosumAnteriorFrontalInclude1_mask.json,,no-change
content-skip,/Volumes/LaCie/Projects/elgan_dti/data/Site-160_ELGAN/derivatives/afq/sub-E1600071G/ses-03/dwi/ROIs/sub-E1600071G_ses-03_space-ACPC_desc-CallosumAnteriorFrontalInclude2_mask.json,,no-change
content-skip,/Volumes/LaCie/Projects/elgan_dti/data/Site-160_ELGAN/derivatives/afq/sub-E1600071G/ses-03/dwi/ROIs/sub-E1600071G_ses-03_space-ACPC_desc-CallosumMotorInclude0_mask.json,,no-change
content-skip,/Volumes/LaCie/Projects/elgan_dti/data/Site-160_ELGAN/derivatives/afq/sub-E1600071G/ses-03/dwi/ROIs/sub-E1600071G_ses-03_space-ACPC_desc-CallosumMotorInclude1_mask.json,,no-change
content-skip,/Volumes/LaCie/Projects/elgan_dti/data/Site-160_ELGAN/derivatives/afq/sub-E1600071G/ses-03/dwi/ROIs/sub-E1600071G_ses-03_space-ACPC_desc-CallosumMotorInclude2_mask.json,,no-change
content-skip,/Volumes/LaCie/Projects/elgan_dti/data/Site-160_ELGAN/derivatives/afq/sub-E1600071G/ses-03/dwi/ROIs/sub-E1600071G_ses-03_space-ACPC_desc-CallosumOccipitalInclude0_mask.json,,no-change
content-skip,/Volumes/LaCie/Projects/elgan_dti/data/Site-160_ELGAN/derivatives/afq/sub-E1600071G/ses-03/dwi/ROIs/sub-E1600071G_ses-03_space-ACPC_desc-CallosumOccipitalInclude1_mask.json,,no-change
content-skip,/Volumes/LaCie/Projects/elgan_dti/data/Site-160_ELGAN/derivatives/afq/sub-E1600071G/ses-03/dwi/ROIs/sub-E1600071G_ses-03_space-ACPC_desc-CallosumOccipitalInclude2_mask.json,,no-change
content-skip,/Volumes/LaCie/Projects/elgan_dti/data/Site-160_ELGAN/derivatives/afq/sub-E1600071G/ses-03/dwi/ROIs/sub-E1600071G_ses-03_space-ACPC_desc-CallosumOrbitalInclude0_mask.json,,no-change
content-skip,/Volumes/LaCie/Projects/elgan_dti/data/Site-160_ELGAN/derivatives/afq/sub-E1600071G/ses-03/dwi/ROIs/sub-E1600071G_ses-03_space-ACPC_desc-CallosumOrbitalInclude1_mask.json,,no-change
content-skip,/Volumes/LaCie/Projects/elgan_dti/data/Site-160_ELGAN/derivatives/afq/sub-E1600071G/ses-03/dwi/ROIs/sub-E1600071G_ses-03_space-ACPC_desc-CallosumOrbitalInclude2_mask.json,,no-change
content-skip,/Volumes/LaCie/Projects/elgan_dti/data/Site-160_ELGAN/derivatives/afq/sub-E1600071G/ses-03/dwi/ROIs/sub-E1600071G_ses-03_space-ACPC_desc-CallosumPosteriorParietalInclude0_mask.json,,no-change
content-skip,/Volumes/LaCie/Projects/elgan_dti/data/Site-160_ELGAN/derivatives/afq/sub-E1600071G/ses-03/dwi/ROIs/sub-E1600071G_ses-03_space-ACPC_desc-CallosumPosteriorParietalInclude1_mask.json,,no-change
content-skip,/Volumes/LaCie/Projects/elgan_dti/data/Site-160_ELGAN/derivatives/afq/sub-E1600071G/ses-03/dwi/ROIs/sub-E1600071G_ses-03_space-ACPC_desc-CallosumPosteriorParietalInclude2_mask.json,,no-change
content-skip,/Volumes/LaCie/Projects/elgan_dti/data/Site-160_ELGAN/derivatives/afq/sub-E1600071G/ses-03/dwi/ROIs/sub-E1600071G_ses-03_space-ACPC_desc-CallosumSuperiorFrontalInclude0_mask.json,,no-change
content-skip,/Volumes/LaCie/Projects/elgan_dti/data/Site-160_ELGAN/derivatives/afq/sub-E1600071G/ses-03/dwi/ROIs/sub-E1600071G_ses-03_space-ACPC_desc-CallosumSuperiorFrontalInclude1_mask.json,,no-change
content-skip,/Volumes/LaCie/Projects/elgan_dti/data/Site-160_ELGAN/derivatives/afq/sub-E1600071G/ses-03/dwi/ROIs/sub-E1600071G_ses-03_space-ACPC_desc-CallosumSuperiorFrontalInclude2_mask.json,,no-change
content-skip,/Volumes/LaCie/Projects/elgan_dti/data/Site-160_ELGAN/derivatives/afq/sub-E1600071G/ses-03/dwi/ROIs/sub-E1600071G_ses-03_space-ACPC_desc-CallosumSuperiorParietalInclude0_mask.json,,no-change
content-skip,/Volumes/LaCie/Projects/elgan_dti/data/Site-160_ELGAN/derivatives/afq/sub-E1600071G/ses-03/dwi/ROIs/sub-E1600071G_ses-03_space-ACPC_desc-CallosumSuperiorParietalInclude1_mask.json,,no-change
content-skip,/Volumes/LaCie/Projects/elgan_dti/data/Site-160_ELGAN/derivatives/afq/sub-E1600071G/ses-03/dwi/ROIs/sub-E1600071G_ses-03_space-ACPC_desc-CallosumSuperiorParietalInclude2_mask.json,,no-change
content-skip,/Volumes/LaCie/Projects/elgan_dti/data/Site-160_ELGAN/derivatives/afq/sub-E1600071G/ses-03/dwi/ROIs/sub-E1600071G_ses-03_space-ACPC_desc-CallosumTemporalInclude0_mask.json,,no-change
content-skip,/Volumes/LaCie/Projects/elgan_dti/data/Site-160_ELGAN/derivatives/afq/sub-E1600071G/ses-03/dwi/ROIs/sub-E1600071G_ses-03_space-ACPC_desc-CallosumTemporalInclude1_mask.json,,no-change
content-skip,/Volumes/LaCie/Projects/elgan_dti/data/Site-160_ELGAN/derivatives/afq/sub-E1600071G/ses-03/dwi/ROIs/sub-E1600071G_ses-03_space-ACPC_desc-CallosumTemporalInclude2_mask.json,,no-change
content-skip,/Volumes/LaCie/Projects/elgan_dti/data/Site-160_ELGAN/derivatives/afq/sub-E1600071G/ses-03/dwi/ROIs/sub-E1600071G_ses-03_space-ACPC_desc-ForcepsMajorEnd_mask.json,,no-change
content-skip,/Volumes/LaCie/Projects/elgan_dti/data/Site-160_ELGAN/derivatives/afq/sub-E1600071G/ses-03/dwi/ROIs/sub-E1600071G_ses-03_space-ACPC_desc-ForcepsMajorInclude0_mask.json,,no-change
content-skip,/Volumes/LaCie/Projects/elgan_dti/data/Site-160_ELGAN/derivatives/afq/sub-E1600071G/ses-03/dwi/ROIs/sub-E1600071G_ses-03_space-ACPC_desc-ForcepsMajorInclude1_mask.json,,no-change
content-skip,/Volumes/LaCie/Projects/elgan_dti/data/Site-160_ELGAN/derivatives/afq/sub-E1600071G/ses-03/dwi/ROIs/sub-E1600071G_ses-03_space-ACPC_desc-ForcepsMajorInclude2_mask.json,,no-change
content-skip,/Volumes/LaCie/Projects/elgan_dti/data/Site-160_ELGAN/derivatives/afq/sub-E1600071G/ses-03/dwi/ROIs/sub-E1600071G_ses-03_space-ACPC_desc-ForcepsMajorStart_mask.json,,no-change
